Địa phương,Cấp dữ liệu,Năm,Trạng thái,Doanh thu du lịch lữ hành (Tỷ đồng)
CẢ NƯỚC,Cả nước,2015,Chính thức,30444.1
CẢ NƯỚC,Cả nước,2016,Chính thức,32530.3
CẢ NƯỚC,Cả nước,2017,Chính thức,36111.8
CẢ NƯỚC,Cả nước,2018,Chính thức,40371.2
CẢ NƯỚC,Cả nước,2019,Chính thức,44669.9
CẢ NƯỚC,Cả nước,2020,Chính thức,16492
CẢ NƯỚC,Cả nước,2021,Chính thức,8998.84
CẢ NƯỚC,Cả nước,2022,Chính thức,43505.51
CẢ NƯỚC,Cả nước,2023,Chính thức,64035.8
CẢ NƯỚC,Cả nước,2024,Sơ bộ,78990.47
Đồng bằng sông Hồng,Vùng,2015,Chính thức,8543
Đồng bằng sông Hồng,Vùng,2016,Chính thức,9071.8
Đồng bằng sông Hồng,Vùng,2017,Chính thức,9583.6
Đồng bằng sông Hồng,Vùng,2018,Chính thức,10507.4
Đồng bằng sông Hồng,Vùng,2019,Chính thức,11556.1
Đồng bằng sông Hồng,Vùng,2020,Chính thức,6128.3
Đồng bằng sông Hồng,Vùng,2021,Chính thức,3938.06
Đồng bằng sông Hồng,Vùng,2022,Chính thức,16873.93
Đồng bằng sông Hồng,Vùng,2023,Chính thức,23864.72
Đồng bằng sông Hồng,Vùng,2024,Sơ bộ,29635.81
Hà Nội,Tỉnh/thành,2015,Chính thức,7831.9
Hà Nội,Tỉnh/thành,2016,Chính thức,8065.3
Hà Nội,Tỉnh/thành,2017,Chính thức,8465.8
Hà Nội,Tỉnh/thành,2018,Chính thức,9273.7
Hà Nội,Tỉnh/thành,2019,Chính thức,10145.5
Hà Nội,Tỉnh/thành,2020,Chính thức,5184.4
Hà Nội,Tỉnh/thành,2021,Chính thức,3382
Hà Nội,Tỉnh/thành,2022,Chính thức,14773.82
Hà Nội,Tỉnh/thành,2023,Chính thức,20687.3
Hà Nội,Tỉnh/thành,2024,Sơ bộ,25259.42
Vĩnh Phúc,Tỉnh/thành,2015,Chính thức,71.5
Vĩnh Phúc,Tỉnh/thành,2016,Chính thức,78.4
Vĩnh Phúc,Tỉnh/thành,2017,Chính thức,83.7
Vĩnh Phúc,Tỉnh/thành,2018,Chính thức,86.7
Vĩnh Phúc,Tỉnh/thành,2019,Chính thức,96.3
Vĩnh Phúc,Tỉnh/thành,2020,Chính thức,73.9
Vĩnh Phúc,Tỉnh/thành,2021,Chính thức,44.7
Vĩnh Phúc,Tỉnh/thành,2022,Chính thức,110.04
Vĩnh Phúc,Tỉnh/thành,2023,Chính thức,208.88
Vĩnh Phúc,Tỉnh/thành,2024,Sơ bộ,416.99
Bắc Ninh,Tỉnh/thành,2015,Chính thức,12.3
Bắc Ninh,Tỉnh/thành,2016,Chính thức,17.8
Bắc Ninh,Tỉnh/thành,2017,Chính thức,20
Bắc Ninh,Tỉnh/thành,2018,Chính thức,23
Bắc Ninh,Tỉnh/thành,2019,Chính thức,25
Bắc Ninh,Tỉnh/thành,2020,Chính thức,10.9
Bắc Ninh,Tỉnh/thành,2021,Chính thức,2.04
Bắc Ninh,Tỉnh/thành,2022,Chính thức,48.78
Bắc Ninh,Tỉnh/thành,2023,Chính thức,181
Bắc Ninh,Tỉnh/thành,2024,Sơ bộ,256
Quảng Ninh,Tỉnh/thành,2015,Chính thức,434.8
Quảng Ninh,Tỉnh/thành,2016,Chính thức,629.9
Quảng Ninh,Tỉnh/thành,2017,Chính thức,703.5
Quảng Ninh,Tỉnh/thành,2018,Chính thức,783
Quảng Ninh,Tỉnh/thành,2019,Chính thức,916.7
Quảng Ninh,Tỉnh/thành,2020,Chính thức,622.3
Quảng Ninh,Tỉnh/thành,2021,Chính thức,390.7
Quảng Ninh,Tỉnh/thành,2022,Chính thức,713.7
Quảng Ninh,Tỉnh/thành,2023,Chính thức,1045.97
Quảng Ninh,Tỉnh/thành,2024,Sơ bộ,1269.46
Hải Dương,Tỉnh/thành,2015,Chính thức,10.7
Hải Dương,Tỉnh/thành,2016,Chính thức,34.2
Hải Dương,Tỉnh/thành,2017,Chính thức,37
Hải Dương,Tỉnh/thành,2018,Chính thức,39.3
Hải Dương,Tỉnh/thành,2019,Chính thức,45.4
Hải Dương,Tỉnh/thành,2020,Chính thức,10.1
Hải Dương,Tỉnh/thành,2021,Chính thức,4.21
Hải Dương,Tỉnh/thành,2022,Chính thức,77.21
Hải Dương,Tỉnh/thành,2023,Chính thức,118.33
Hải Dương,Tỉnh/thành,2024,Sơ bộ,165.46
Hải Phòng,Tỉnh/thành,2015,Chính thức,132.2
Hải Phòng,Tỉnh/thành,2016,Chính thức,187.7
Hải Phòng,Tỉnh/thành,2017,Chính thức,209.7
Hải Phòng,Tỉnh/thành,2018,Chính thức,232.5
Hải Phòng,Tỉnh/thành,2019,Chính thức,250.7
Hải Phòng,Tỉnh/thành,2020,Chính thức,183.2
Hải Phòng,Tỉnh/thành,2021,Chính thức,89.04
Hải Phòng,Tỉnh/thành,2022,Chính thức,509.94
Hải Phòng,Tỉnh/thành,2023,Chính thức,723.83
Hải Phòng,Tỉnh/thành,2024,Sơ bộ,795.27
Hưng Yên,Tỉnh/thành,2015,Chính thức,3.8
Hưng Yên,Tỉnh/thành,2016,Chính thức,4.6
Hưng Yên,Tỉnh/thành,2017,Chính thức,4.6
Hưng Yên,Tỉnh/thành,2018,Chính thức,5.6
