Năm,Doanh thu cơ sở lưu trú (Tỷ đồng),Doanh thu cơ sở lữ hành (Tỷ đồng),Khách cơ sở lưu trú phục vụ (Nghìn lượt),Khách nghỉ qua đêm (Nghìn lượt),Khách trong ngày (Nghìn lượt),Khách trong nước - cơ sở lưu trú (Nghìn lượt),Khách quốc tế - cơ sở lưu trú (Nghìn lượt),Khách cơ sở lữ hành phục vụ (Nghìn lượt),Khách trong nước - cơ sở lữ hành (Nghìn lượt),Khách quốc tế - cơ sở lữ hành (Nghìn lượt),Khách Việt Nam đi nước ngoài (Nghìn lượt)
2015,44711.5,30444.1,114011,..,..,102200,11811,12601.7,9288.7,2820,493
2016,48524.6,32530.3,129735.2,..,..,117037.8,12697.4,13651,9477.6,3584.5,588.8
2017,54383.3,36111.8,146585.2,..,..,132837.9,13747.3,15173,9918.4,4556.4,698.3
2018,59202.2,40371.2,159640.6,..,..,144683.1,14957.5,16966,11062.2,5125.9,777.9
2019,67019.3,44669.9,179365.49,..,..,162046.62,17318.87,18366.29,11791.16,5730.28,844.85
2020,38604.61,16492.03,85297.75,..,..,78083.8,7213.89,8397.84,5789.42,2520.43,87.99
2021,23690.44,8998.84,63602.71,43831.51,19771.19,60453.24,3149.47,3565.28,3316.95,246.01,2.32
2022,57696.66,43505.51,157160.64,119626.09,37534.55,143096.65,14063.99,15147.08,13197.45,1750.46,199.18
2023,76921.51,64035.79,214767.01,167719.99,47047.02,174356.9,40410.1,28401.82,19976.81,7935.64,489.36
Sơ bộ 2024,94101.41,78990.47,251896.82,197159.04,54737.78,192273,59623.76,34371.22,22968.48,10656.53,746.21
